timestamp,symbol,qty,current_price,market_value,unrealized_pl,imv,combined_market_value,pnl_pct
2026-08-31T14:38:11.923204-04:00,SPY260904C00766000,-100,3.79,-37900.0,5300.0,,,
2026-08-31T14:38:11.923204-04:00,SPY260904C00776000,100,0.47,4700.0,-1900.0,,,
2026-08-31T14:38:11.923204-04:00,SPY260904P00756000,100,0.98,9800.0,-700.0,,,
2026-08-31T14:38:11.923204-04:00,SPY260904P00766000,-100,3.67,-36700.0,-1300.0,,,
2026-08-31T14:38:11.923204-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:39:11.920381-04:00,SPY260904C00766000,-100,3.73,-37300.0,5900.0,,,
2026-08-31T14:39:11.920381-04:00,SPY260904C00776000,100,0.45,4500.0,-2100.0,,,
2026-08-31T14:39:11.920381-04:00,SPY260904P00756000,100,1.01,10100.0,-400.0,,,
2026-08-31T14:39:11.920381-04:00,SPY260904P00766000,-100,3.74,-37400.0,-2000.0,,,
2026-08-31T14:39:11.920381-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:40:11.964361-04:00,SPY260904C00766000,-100,3.68,-36800.0,6400.0,,,
2026-08-31T14:40:11.964361-04:00,SPY260904C00776000,100,0.45,4500.0,-2100.0,,,
2026-08-31T14:40:11.964361-04:00,SPY260904P00756000,100,1.02,10200.0,-300.0,,,
2026-08-31T14:40:11.964361-04:00,SPY260904P00766000,-100,3.78,-37800.0,-2400.0,,,
2026-08-31T14:40:11.964361-04:00,TOTAL,,,-59900.0,,61500.0,1600.0,2.6
2026-08-31T14:41:11.981557-04:00,SPY260904C00766000,-100,3.76,-37600.0,5600.0,,,
2026-08-31T14:41:11.981557-04:00,SPY260904C00776000,100,0.46,4600.0,-2000.0,,,
2026-08-31T14:41:11.981557-04:00,SPY260904P00756000,100,1.0,10000.0,-500.0,,,
2026-08-31T14:41:11.981557-04:00,SPY260904P00766000,-100,3.71,-37100.0,-1700.0,,,
2026-08-31T14:41:11.981557-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:42:12.021062-04:00,SPY260904C00766000,-100,3.66,-36600.0,6600.0,,,
2026-08-31T14:42:12.021062-04:00,SPY260904C00776000,100,0.44,4400.0,-2200.0,,,
2026-08-31T14:42:12.021062-04:00,SPY260904P00756000,100,1.04,10400.0,-100.0,,,
2026-08-31T14:42:12.021062-04:00,SPY260904P00766000,-100,3.82,-38200.0,-2800.0,,,
2026-08-31T14:42:12.021062-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:43:11.992045-04:00,SPY260904C00766000,-100,3.62,-36200.0,7000.0,,,
2026-08-31T14:43:11.992045-04:00,SPY260904C00776000,100,0.43,4300.0,-2300.0,,,
2026-08-31T14:43:11.992045-04:00,SPY260904P00756000,100,1.05,10500.0,0.0,,,
2026-08-31T14:43:11.992045-04:00,SPY260904P00766000,-100,3.86,-38600.0,-3200.0,,,
2026-08-31T14:43:11.992045-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:44:12.064187-04:00,SPY260904C00766000,-100,3.64,-36400.0,6800.0,,,
2026-08-31T14:44:12.064187-04:00,SPY260904C00776000,100,0.44,4400.0,-2200.0,,,
2026-08-31T14:44:12.064187-04:00,SPY260904P00756000,100,1.05,10500.0,0.0,,,
2026-08-31T14:44:12.064187-04:00,SPY260904P00766000,-100,3.86,-38600.0,-3200.0,,,
2026-08-31T14:44:12.064187-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:45:12.035418-04:00,SPY260904C00766000,-100,3.64,-36400.0,6800.0,,,
2026-08-31T14:45:12.035418-04:00,SPY260904C00776000,100,0.44,4400.0,-2200.0,,,
2026-08-31T14:45:12.035418-04:00,SPY260904P00756000,100,1.04,10400.0,-100.0,,,
2026-08-31T14:45:12.035418-04:00,SPY260904P00766000,-100,3.84,-38400.0,-3000.0,,,
2026-08-31T14:45:12.035418-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:46:12.050466-04:00,SPY260904C00766000,-100,3.62,-36200.0,7000.0,,,
2026-08-31T14:46:12.050466-04:00,SPY260904C00776000,100,0.44,4400.0,-2200.0,,,
2026-08-31T14:46:12.050466-04:00,SPY260904P00756000,100,1.05,10500.0,0.0,,,
2026-08-31T14:46:12.050466-04:00,SPY260904P00766000,-100,3.87,-38700.0,-3300.0,,,
2026-08-31T14:46:12.050466-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:47:12.088776-04:00,SPY260904C00766000,-100,3.67,-36700.0,6500.0,,,
2026-08-31T14:47:12.088776-04:00,SPY260904C00776000,100,0.45,4500.0,-2100.0,,,
2026-08-31T14:47:12.088776-04:00,SPY260904P00756000,100,1.04,10400.0,-100.0,,,
2026-08-31T14:47:12.088776-04:00,SPY260904P00766000,-100,3.82,-38200.0,-2800.0,,,
2026-08-31T14:47:12.088776-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:48:12.116476-04:00,SPY260904C00766000,-100,3.63,-36300.0,6900.0,,,
2026-08-31T14:48:12.116476-04:00,SPY260904C00776000,100,0.44,4400.0,-2200.0,,,
2026-08-31T14:48:12.116476-04:00,SPY260904P00756000,100,1.06,10600.0,100.0,,,
2026-08-31T14:48:12.116476-04:00,SPY260904P00766000,-100,3.88,-38800.0,-3400.0,,,
